Wall time,Step,Value
1498611498.477612,43,3.226983070373535
1498611499.918386,46,3.2400121688842773
1498611512.3174374,72,3.1998767852783203
1498611523.2893043,95,3.214724063873291
1498611558.1235213,168,2.9375641345977783
1498611588.0722446,230,2.42893123626709
1498611590.4828033,235,2.4583494663238525
1498611600.59313,256,2.393599271774292
1498611609.204429,274,2.3374249935150146
1498611626.2863894,309,2.288367986679077
1498611627.2396624,311,2.242349863052368
1498611631.0956242,319,2.260127544403076
1498611706.5498683,475,2.0038647651672363
1498611736.5892346,537,2.0015835762023926
1498611757.4152176,580,1.9273689985275269
1498611760.8428924,587,1.9815113544464111
1498611784.1721857,635,1.9145087003707886
1498611790.4890292,648,1.872053861618042
1498611823.035309,715,1.8534491062164307
1498611826.9199002,723,1.8087189197540283
1498611857.3551543,786,1.7928801774978638
1498611865.550343,803,1.8055492639541626
1498611868.4327104,809,1.8659673929214478
1498611881.9870467,837,1.7813987731933594
1498611947.9778588,972,1.7266407012939453
1498611968.9879632,1015,1.6524858474731445
1498611994.6255782,1067,1.6355326175689697
1498612013.6673312,1105,1.6468477249145508
1498612051.2902062,1181,1.6292479038238525
1498612091.1908875,1262,1.597049593925476
1498612118.348014,1317,1.588274359703064
1498612119.8112504,1320,1.6205247640609741
1498612126.6186743,1334,1.6232846975326538
1498612128.5619085,1338,1.6166751384735107
1498612151.9137557,1386,1.5546735525131226
1498612155.3121464,1393,1.547553539276123
1498612176.812024,1437,1.5460422039031982
1498612191.5658262,1467,1.545316457748413
1498612219.9071493,1524,1.5182973146438599
1498612234.1664727,1553,1.5345169305801392
1498612249.8774035,1585,1.5023778676986694
1498612302.3774803,1692,1.5304663181304932
1498612323.7905006,1735,1.5236918926239014
1498612325.3065715,1738,1.534055471420288
1498612378.6460066,1845,1.4754623174667358
1498612389.579429,1867,1.484657645225525
1498612395.0206704,1878,1.479249358177185
1498612414.55629,1918,1.4893616437911987
1498612429.0644639,1948,1.4863829612731934
1498612489.3834162,2037,1.4584708213806152
1498612518.3029566,2097,1.499368667602539
1498612562.2650414,2188,1.4208400249481201
1498612568.2060199,2200,1.4163761138916016
1498612583.771624,2232,1.428597331047058
1498612598.7613378,2263,1.478658676147461
1498612620.4981146,2308,1.4051963090896606
1498612660.2317152,2390,1.4134407043457031
1498612682.9443953,2437,1.4050132036209106
1498612691.1815453,2454,1.3895319700241089
1498612692.1531396,2456,1.4031097888946533
1498612694.6388927,2461,1.4381282329559326
1498612706.9097588,2486,1.421353816986084
1498612707.406919,2487,1.3971607685089111
1498612713.2059386,2499,1.4349758625030518
1498612715.6192894,2504,1.4894983768463135
1498612729.587429,2533,1.377748727798462
1498612803.6349874,2686,1.3798809051513672
1498612830.6805277,2741,1.3634332418441772
1498612942.006885,2968,1.4133721590042114
1498612976.6801963,3039,1.3805484771728516
1498612978.1411805,3042,1.3814045190811157
1498613037.0969987,3162,1.3769118785858154
1498613070.8930142,3231,1.309485673904419
1498613078.7642572,3247,1.3297358751296997
1498613079.2540965,3248,1.3295302391052246
1498613107.5188382,3306,1.3347581624984741
1498613192.7730396,3481,1.3519387245178223
1498613260.0276694,3619,1.3232182264328003
1498613260.9917266,3621,1.3196055889129639
1498613285.3919322,3671,1.3233373165130615
1498613320.2056787,3742,1.3359824419021606
1498613356.1765413,3815,1.3216654062271118
1498613359.6039052,3822,1.2713685035705566
1498613411.6339264,3929,1.2884269952774048
1498613425.337655,3957,1.3201669454574585
1498613480.9254112,4037,1.3032063245773315
1498613510.7800694,4099,1.3470664024353027
1498613558.1261883,4197,1.3298181295394897
1498613573.1695642,4228,1.2870787382125854
1498613575.5974681,4233,1.3227053880691528
1498613616.520684,4318,1.3165260553359985
1498613617.4918866,4320,1.2920660972595215
1498613656.7077417,4401,1.2387243509292603
1498613701.292072,4493,1.2780940532684326
1498613709.5539644,4510,1.2950769662857056
1498613719.7701633,4531,1.3144521713256836
1498613784.7740202,4665,1.307747721672058
1498613786.703023,4669,1.291269302368164
1498613790.6191044,4677,1.2869049310684204
1498613844.7599385,4789,1.2660815715789795
1498613851.5234568,4803,1.2673206329345703
1498613869.894245,4841,1.258244514465332
1498613895.9993615,4895,1.2646387815475464
1498613933.139958,4972,1.2548303604125977
1498613971.3231914,5051,1.2566404342651367
1498613972.2833104,5053,1.2701845169067383
1498613998.3395452,5107,1.3004090785980225
1498614011.9134803,5135,1.2808804512023926
1498614113.9836063,5346,1.2459763288497925
1498614120.714985,5360,1.2417199611663818
1498614150.3433,5421,1.209090232849121
1498614212.8427691,5550,1.2260992527008057
1498614275.8585024,5680,1.2516658306121826
1498614297.2101796,5724,1.209696888923645
1498614338.6585596,5809,1.254826545715332
1498614366.2391565,5865,1.2636431455612183
1498614369.694573,5872,1.2556405067443848
1498614387.3398266,5908,1.2378835678100586
1498614428.0932932,5991,1.2492287158966064
1498614454.7728472,6011,1.2001928091049194
1498614508.180931,6122,1.2441396713256836
1498614513.0114841,6132,1.282613754272461
1498614546.366579,6201,1.2143419981002808
1498614552.6317625,6214,1.2380623817443848
1498614555.5223749,6220,1.243847131729126
1498614589.5944746,6290,1.1909210681915283
1498614600.7600265,6313,1.2185866832733154
1498614631.9084284,6377,1.2785249948501587
1498614702.1366405,6521,1.285217523574829
1498614728.31624,6575,1.2358235120773315
1498614742.4714317,6604,1.2584469318389893
1498614787.8589025,6697,1.2557227611541748
1498614789.3092244,6700,1.2087194919586182
1498614795.1481624,6712,1.2127009630203247
1498614864.6543348,6855,1.203381061553955
1498614919.2066057,6967,1.201517105102539
1498614931.8060224,6993,1.2167470455169678
1498614987.162986,7107,1.2150055170059204
1498614991.0597434,7115,1.1718716621398926
1498615011.1010554,7156,1.1965248584747314
1498615055.8427272,7248,1.1840764284133911
1498615086.9956472,7312,1.1794644594192505
1498615110.3441322,7360,1.2235418558120728
1498615121.560345,7383,1.2031712532043457
1498615154.7414787,7451,1.1783665418624878
1498615159.5926745,7461,1.2018214464187622
1498615161.0408466,7464,1.205873966217041
1498615168.3206432,7479,1.2566384077072144
1498615184.3825586,7512,1.2201323509216309
1498615273.3910296,7694,1.2041523456573486
1498615319.9102297,7789,1.1759039163589478
1498615324.7883337,7799,1.151536464691162
1498615341.905818,7834,1.1803228855133057
1498615418.8014712,7992,1.2234946489334106
1498615471.8259895,8067,1.2310264110565186
1498615526.7763052,8181,1.1624618768692017
1498615546.5191991,8222,1.1962693929672241
1498615615.652422,8364,1.1467134952545166
1498615618.0917878,8369,1.1409697532653809
1498615622.4832532,8378,1.1737885475158691
1498615667.4913013,8471,1.2090590000152588
1498615681.0171583,8499,1.1920444965362549
1498615685.845223,8509,1.1568708419799805
1498615730.6944716,8602,1.182086706161499
1498615747.1063497,8636,1.1757184267044067
1498615775.960611,8696,1.207763433456421
1498615864.743659,8879,1.1586999893188477
1498615877.3030849,8905,1.1619142293930054
1498615878.7509723,8908,1.1539280414581299
1498615888.917779,8929,1.1080899238586426
1498615892.3104842,8936,1.1356765031814575
1498615920.4015644,8994,1.1453438997268677
1498615950.3641465,9056,1.1995904445648193
1498616049.8573246,9261,1.189733862876892
1498616076.9932444,9317,1.1568337678909302
1498616092.539008,9349,1.214238166809082
1498616134.9835527,9436,1.18271005153656
1498616151.223946,9469,1.1505100727081299
1498616189.9629636,9548,1.1456915140151978
1498616193.3889866,9555,1.128995656967163
1498616199.7644296,9568,1.1271336078643799
1498616244.0615873,9658,1.1704082489013672
1498616255.3404076,9681,1.143331527709961
1498616264.210791,9699,1.1599781513214111
1498616335.0148,9844,1.166234016418457
1498616366.0187156,9908,1.1767696142196655
1498616455.6108747,10059,1.1397740840911865
1498616468.1058624,10085,1.132335901260376
1498616561.465451,10277,1.1563599109649658
1498616564.8927853,10284,1.1236265897750854
