Wall time,Step,Value
1498612469.842534,2000,1.3909130096435547
1498613462.0142934,4000,1.2512927055358887
1498614448.2430348,6000,1.2154489755630493
1498615438.256989,8000,1.1689050197601318
1498616426.1195433,10000,1.1658357381820679
1498617413.5924795,12000,1.1418719291687012
1498618401.5712135,14000,1.1494368314743042
1498619386.606583,16000,1.1330680847167969
1498620372.3241048,18000,1.1360987424850464
1498621365.3534255,20000,1.1263420581817627
1498622351.3137941,22000,1.1349424123764038
1498623339.6012707,24000,1.1318302154541016
1498624326.8358278,26000,1.1364692449569702
1498625317.3205178,28000,1.134880781173706
1498626308.241567,30000,1.125988483428955
1498627295.7195034,32000,1.1330673694610596
1498628286.0275726,34000,1.1155078411102295
1498629272.833858,36000,1.1300699710845947
1498630261.81314,38000,1.1199331283569336
1498631250.0583508,40000,1.125854253768921
1498632236.8235238,42000,1.1225606203079224
1498633221.474789,44000,1.129321813583374
1498634208.480812,46000,1.1177952289581299
1498635197.57872,48000,1.1284176111221313
1498636184.6979222,50000,1.1122758388519287
1498637170.0414064,52000,1.1302448511123657
1498638155.530712,54000,1.1192148923873901
1498639143.2907834,56000,1.120430827140808
1498639450.578318,56600,1.1178412437438965
